Brand,Description,Composition,Composition2,Gender,Color
Balenciaga,BB0024S-001 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,BROWN
Balenciaga,BB0024S-002 58 Sunglass WOMAN ACETATE,ACETATE,CR 39,WOMAN,BROWN
Balenciaga,BB0024S-003 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,GREY
Balenciaga,BB0024S-004 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,GREY
Balenciaga,BB0024SA-001 56 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,BROWN
Balenciaga,BB0024SA-002 56 Sunglass WOMAN ACETATE,ACETATE,CR 39,WOMAN,BROWN
Balenciaga,BB0024SA-003 56 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,GREY
Balenciaga,BB0024SA-004 56 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,GREY
Balenciaga,BB0025S-001 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0025S-002 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0025S-003 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,RED
Balenciaga,BB0025SA-001 55 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0025SA-002 55 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0025SA-003 55 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,RED
Balenciaga,BB0026S-001 57 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0026S-002 57 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0026S-003 57 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0026SA-001 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0026SA-002 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0026SA-003 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0038SA-001 62 Sunglass WOMAN INJECTION,INJECTION,NYLON,WOMAN,GREY
Balenciaga,BB0038SA-002 62 Sunglass WOMAN INJECTION,INJECTION,NYLON,WOMAN,BLUE
Balenciaga,BB0038SA-003 62 Sunglass WOMAN INJECTION,INJECTION,NYLON,WOMAN,VIOLET
Balenciaga,BB0038SA-004 62 Sunglass WOMAN INJECTION,INJECTION,NYLON,WOMAN,ORANGE
Balenciaga,BB0040S-001 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,GREY
Balenciaga,BB0040S-002 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,SILVER
Balenciaga,BB0040S-003 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,VIOLET
Balenciaga,BB0040S-004 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,BLUE
Balenciaga,BB0040S-006 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,ORANGE
Balenciaga,BB0041S-001 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,GREY
Balenciaga,BB0041S-002 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,SILVER
Balenciaga,BB0041S-003 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,VIOLET
Balenciaga,BB0041S-004 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,BLUE
Balenciaga,BB0041S-005 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,ORANGE
Balenciaga,BB0041S-008 99 Sunglass UNISEX INJECTION,INJECTION,NYLON,UNISEX,GREY
Balenciaga,BB0005S-005 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,YELLOW
Balenciaga,BB0005S-006 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,BROWN
Balenciaga,BB0006S-004 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,VIOLET
Balenciaga,BB0007S-007 59 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,SILVER
Balenciaga,BB0008S-005 60 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,SILVER
Balenciaga,BB0008S-006 60 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,YELLOW
Balenciaga,BB0010S-004 61 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GOLD
Balenciaga,BB0010S-005 61 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,SILVER
Balenciaga,BB0013S-007 59 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREEN
Balenciaga,BB0015S-007 61 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,YELLOW
Balenciaga,BB0015S-008 61 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREEN
Balenciaga,BB0015S-009 61 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,BROWN
Balenciaga,BB0001S-001 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,RED
Balenciaga,BB0001S-002 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0001S-003 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,PINK
Balenciaga,BB0001S-004 59 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0002S-001 63 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0002S-002 63 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0002S-003 63 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,SILVER
Balenciaga,BB0002S-004 63 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BLUE
Balenciaga,BB0003S-001 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0003S-002 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,SILVER
Balenciaga,BB0003S-003 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,VIOLET
Balenciaga,BB0003S-004 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,RED
Balenciaga,BB0004S-001 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0004S-002 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,PINK
Balenciaga,BB0004S-003 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,RED
Balenciaga,BB0004S-004 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BLUE
Balenciaga,BB0004SA-001 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0004SA-002 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,PINK
Balenciaga,BB0004SA-003 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,RED
Balenciaga,BB0004SA-004 99 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BLUE
Balenciaga,BB0005S-001 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,GREY
Balenciaga,BB0005S-002 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,BROWN
Balenciaga,BB0005S-003 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,PINK
Balenciaga,BB0005S-004 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,SILVER
Balenciaga,BB0005SK-001 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,GREY
Balenciaga,BB0005SK-002 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,BROWN
Balenciaga,BB0005SK-003 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,PINK
Balenciaga,BB0005SK-004 58 Sunglass WOMAN ACETATE,ACETATE,NYLON,WOMAN,SILVER
Balenciaga,BB0006S-001 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,GREY
Balenciaga,BB0006S-002 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,BROWN
Balenciaga,BB0006S-003 54 Sunglass UNISEX ACETATE,ACETATE,NYLON,UNISEX,SILVER
Balenciaga,BB0007S-001 59 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,GREY
Balenciaga,BB0007S-002 59 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,GREEN
Balenciaga,BB0007S-003 59 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,VIOLET
Balenciaga,BB0007S-004 59 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,BLUE
Balenciaga,BB0007S-005 59 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,VIOLET
Balenciaga,BB0008S-001 60 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,GREY
Balenciaga,BB0008S-002 60 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,GREEN
Balenciaga,BB0008S-003 60 Sunglass UNISEX ACETATE,ACETATE,GLASS,UNISEX,RED
Balenciaga,BB0009SK-001 54 Sunglass UNISEX METAL,METAL,GLASS,UNISEX,GREY
Balenciaga,BB0009SK-002 54 Sunglass UNISEX METAL,METAL,GLASS,UNISEX,GREEN
Balenciaga,BB0009SK-003 54 Sunglass UNISEX METAL,METAL,GLASS,UNISEX,BROWN
Balenciaga,BB0010S-001 61 Sunglass UNISEX METAL,METAL,GLASS,UNISEX,GREY
Balenciaga,BB0010S-002 61 Sunglass UNISEX METAL,METAL,GLASS,UNISEX,GREEN
Balenciaga,BB0010S-003 61 Sunglass UNISEX METAL,METAL,GLASS,UNISEX,BROWN
Balenciaga,BB0011S-001 57 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREY
Balenciaga,BB0011S-002 57 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,BROWN
Balenciaga,BB0011S-003 57 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,BROWN
Balenciaga,BB0012S-001 58 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREY
Balenciaga,BB0012S-002 58 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,BROWN
Balenciaga,BB0012S-003 58 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREEN
Balenciaga,BB0012S-004 58 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREEN
Balenciaga,BB0013S-001 59 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,GREY
Balenciaga,BB0013S-002 59 Sunglass UNISEX METAL,METAL,NYLON,UNISEX,SILVER
