"id";"sku";"name";"supplier"
"302909";"J0974TCRUNER";"TOM FORD SNEAKERS";"MINETTI"
"302908";"BUS94TFK110106";"TOM FORD MAGLIERIA";"MINETTI"
"302905";"6059571FL202183";"SAINT LAURENT SCARPE BASSE";"MINETTI"
"302902";"ME06JK12101";"ISSEY MIYAKE T-SHIRTS";"MINETTI"
"302901";"ME06FF15213";"ISSEY MIYAKE PANTALONI";"MINETTI"
"302900";"ME06KN00315";"ISSEY MIYAKE MAGLIERIA";"MINETTI"
"302899";"ME06JJ12201";"ISSEY MIYAKE CAMICIE";"MINETTI"
"302898";"ME06FJ13902";"ISSEY MIYAKE CAMICIE";"MINETTI"
"302897";"ME06FJ08401";"ISSEY MIYAKE CAMICIE";"MINETTI"
"302896";"ME06FD21313";"ISSEY MIYAKE BLAZER";"MINETTI"
"302893";"GW08ATFRRDGS8051";"DOLCE & GABBANA PANTALONI";"MINETTI"
"302882";"QuickSell2016903";"QUICKSELL";"Yogesh Mordani"
"302880";"620301VBSH02113";"BOTTEGA VENETA SCARPE FORMALI";"MINETTI"
"302879";"620298VBTR01000";"BOTTEGA VENETA SCARPE BASSE";"MINETTI"
"302878";"617446VKTH01000";"BOTTEGA VENETA POLO";"MINETTI"
"302877";"617342VKLC09733";"BOTTEGA VENETA PANTALONCINI";"MINETTI"
"302876";"620223VCPQ42127";"BOTTEGA VENETA CINTURE";"MINETTI"
"302866";"6006111SIA039200";"STELLA MCCARTNEY PANTALONI";"MINETTI"
"302865";"606912SOA538500";"STELLA MCCARTNEY CAMICIE";"MINETTI"
"302864";"0730595";"SALVATORE FERRAGAMO SCARPE FORMALI";"MINETTI"
"302863";"0734058";"SALVATORE FERRAGAMO BORSE";"MINETTI"
"302862";"0733580";"SALVATORE FERRAGAMO BORSE";"MINETTI"
"302861";"0730241003";"SALVATORE FERRAGAMO SCARPE FORMALI";"MINETTI"
"302860";"0730483003";"SALVATORE FERRAGAMO SANDALI";"MINETTI"
"302859";"0704278035";"SALVATORE FERRAGAMO CINTURE";"MINETTI"
"302854";"2D6C5BH118F0K74";"MIU MIU BORSE";"MINETTI"
"302853";"2D3N5BE022F0976";"MIU MIU BORSE";"MINETTI"
"302852";"MF35224KTF0K74";"MIU MIU ABITI";"MINETTI"
"302850";"85SUEBLACK";"JIMMY CHOO SCARPE FORMALI";"MINETTI"
"302849";"65SPTBLACKBLACK";"JIMMY CHOO SANDALI";"MINETTI"
"302848";"IM07JK73701";"ISSEY MIYAKE T-SHIRTS";"MINETTI"
"302847";"IM07FF57615";"ISSEY MIYAKE PANTALONI";"MINETTI"
"302846";"IM07FD61717";"ISSEY MIYAKE GIACCHE CASUAL";"MINETTI"
"302841";"F5M65TGDU46HN1MH";"DOLCE & GABBANA CAMICIE";"MINETTI"
"302840";"F5M44THS5GFHF1BM";"DOLCE & GABBANA CAMICIE";"MINETTI"
"302839";"F29AITHLM0MN0000";"DOLCE & GABBANA BLAZER";"MINETTI"
"302838";"QuickSell2016902";"QUICKSELL";"Yogesh Mordani"
"302836";"617678VE3M12234";"BOTTEGA VENETA COLLANE";"MINETTI"
"302835";"70378";"Crepe Trouser";"Tory Burch"
"302832";"QuickSell2016901";"QUICKSELL";"Yogesh Mordani"
"302619";"558944W4EY85371";"ALEXANDER MCQUEEN SNEAKERS";"MINETTI"
"302618";"621840WHXZ72263";"ALEXANDER MCQUEEN SANDALI";"MINETTI"
"302598";"QuickSell2016803";"QUICKSELL";"Yogesh Mordani"
"302597";"QuickSell2016802";"QUICKSELL";"Wise Boutique"
"302596";"QuickSell2016801";"QUICKSELL";"Wise Boutique"
"302446";"TR3VAK364RLE34";"DRESS IN TULLE POLKA DOTS WITH PRINTED DRESS";"Groppetti"
"302445";"A18AUES0061PXV071NJNZJ";"INDYSUN ORIGINAL Sunglasses";"Groppetti"
"302444";"P20SUSC00499PTE003N0202";"RUNNER STATEMENT Sneakers";"Groppetti"
"302443";"P20MTK4415PJY002N02";"T-SHIRT ROUND NECK SS VAMPIRE";"Groppetti"
"302442";"P20MTK4415PJY002N01";"T-SHIRT ROUND NECK SS VAMPIRE";"Groppetti"
"302441";"P20CMTK4467PJY002N01";"ROCK PP T-shirt";"Groppetti"
"302440";"P20CMTK4457PJO002N0213";"T-SHIRT ROUND NECK SS PHILIPP PLEIN TM";"Groppetti"
"302439";"P20CMTK4455PJO002N01";"T-SHIRT ROUND NECK SS PHILIPP PLEIN TM";"Groppetti"
"302438";"P20CMTK4451PJY002N02";"ROUND NECK SS THUNDER T-SHIRT";"Groppetti"
"302437";"P20CMTK4436PJY002N0108";"ROUND NECK SS ROCK PP T-SHIRT";"Groppetti"
"302436";"P20CMTK4424PJY002N02";"ROUND NECK SS GOTHIC PLEIN T-SHIRT";"Groppetti"
"302435";"P20CMTK4286PJY002N0102";"ROUND NECK SS ORIGINAL T-SHIRT";"Groppetti"
"302434";"P20CMTK4286PJY002N0201";"T-SHIRT ROUND NECK SS ORIGINAL";"Groppetti"
"302433";"P20CMTK4254PJY002N0213";"PLEIN STAR T-shirt";"Groppetti"
"302432";"P20CMJT1625PJO002N02";"JOGGING TROUSERS THUNDER";"Groppetti"
"302431";"P20CMJT1598PJO002N02";"JOGGING SHORTS GOTHIC PLEIN";"Groppetti"
"302430";"P20CMJT1597PJO002N02";"JOGGING TROUSERS GOTHIC PLEIN";"Groppetti"
"302429";"P20CMJB1922PJO002N02";"HOODIE SWEATSHIRT SKULL CRYSTAL";"Groppetti"
"302428";"P20CMJB1919PJO002N02";"HOODIE SWEATJACKET GOTHIC PLEIN";"Groppetti"
"302427";"P20CMDT2168PDE004N10DE";"SUPER STRAIGHT CUT Jeans";"Groppetti"
"302426";"P20CMDT2168PDE004N02TE";"SUPER STRAIGHT CUT Jeans";"Groppetti"
"302425";"P19CMJB1104PJO002N0201";"STATEMENT LIMITED EDITION Hoodie";"Groppetti"
"302424";"F19SMSG0025PLE075N0202";"FLAT GUMMY SANDALS LOGOS";"Groppetti"
"302423";"F19SMSC2293PLE075N01";"LO-TOP SNEAKERS HEXAGON";"Groppetti"
"302422";"F19SMSC2276PLE008N01";"PHANTOM KICK $ LO-TOP RUBBERIZED LEATHER";"Groppetti"
"302421";"A19CMJB1501PJO002N02";"DOLLAR HOODIE";"Groppetti"
"302420";"A19ABBA0075PTE003N0201";"PHILIPP PLEIN 1978 BACKPACK";"Groppetti"
"302415";"32F8SF6Z0L402";"Small wallet in textured leather";"Groppetti"
"302414";"30F9GZCS2L626";"ZOE Medium leather handbag";"Groppetti"
"302413";"MS08ZKJDVY100";"Jumpsuit with mini petal print";"Groppetti"
"302412";"MH96P5BBVC456";"Cardigan in viscose blend";"Groppetti"
